ClassId,Name
0,Gioi han toc do (20km/h)
1,Gioi han toc do (30km/h)
2,Gioi han toc do (50km/h)
3,Gioi han toc do (60km/h)
4,Gioi han toc do (70km/h)
5,Gioi han toc do (80km/h)
6,Het gioi han toc do (80km/h)
7,Gioi han toc do (100km/h)
8,Gioi han toc do (120km/h)
9,Cam vuot
10,Cam vuot cho xe co trong luong tren 3.5 tan
11,Uu tien tai giao lo ke tiep
12,Duong uu tien
13,Nhuong duong
14,Dung lai
15,Cam xe
16,Cam xe co trong luong tren 3.5 tan
17,Cam di nguoc chieu
18,Canh bao nguy hiem
19,Curve nguy hiem ben trai
20,Curve nguy hiem ben phai
21,Curve kep
22,Duong gap ghenh
23,Duong tron truot
24,Duong hep ben phai
25,Cong truong dang lam viec
26,Den tin hieu giao thong
27,Nguoi di bo
28,Tre em qua duong
29,Qua duong xe dap
30,Canh bao bang tuyet/da
31,Qua duong dong vat hoang da
32,Het moi gioi han toc do va cam vuot
33,Re phai phia truoc
34,Re trai phia truoc
35,Chi di thang
36,Di thang hoac re phai
37,Di thang hoac re trai
38,Giu ben phai
39,Giu ben trai
40,Bat buoc vong xuyen
41,Het cam vuot
42,Het cam vuot cho xe co trong luong tren 3.5 tan
